epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.917,2.08237,3.39099,1.9879,0.00932,0.47619,0.3869,0.17854,1.88814,3.55801,1.90769,0.00012861,0.00012861,0.00012861
2,75.1689,1.87794,2.82379,1.81583,0.01433,0.54762,0.39093,0.21733,1.64531,3.41323,1.67296,0.000268822,0.000268822,0.000268822
3,110.655,1.86682,2.34817,1.79342,0.01333,0.54762,0.46229,0.23456,1.53974,3.2586,1.61584,0.000406205,0.000406205,0.000406205
4,146.409,1.79243,2.05103,1.75776,0.86301,0.11905,0.49668,0.25083,1.67129,2.9615,1.75235,0.000540758,0.000540758,0.000540758
5,182.283,1.7616,1.97168,1.70301,0.92389,0.3619,0.5042,0.25411,1.75882,2.57456,1.79462,0.000672482,0.000672482,0.000672482
6,218.282,1.74025,1.88108,1.66794,0.55892,0.45714,0.64713,0.33503,1.79269,2.61212,1.79548,0.000801376,0.000801376,0.000801376
7,255.373,1.68283,1.91846,1.6818,0.82989,0.35276,0.77193,0.36857,1.80745,2.36658,1.73458,0.000927441,0.000927441,0.000927441
8,291.622,1.71277,1.83597,1.6858,0.87496,0.40476,0.75795,0.33048,1.79771,2.51011,1.7525,0.00105068,0.00105068,0.00105068
9,327.173,1.71336,1.8645,1.68082,0.563,0.65775,0.77499,0.38052,1.74977,2.26449,1.70081,0.00117108,0.00117108,0.00117108
10,362.643,1.68759,1.75791,1.64201,0.82372,0.71804,0.77738,0.37265,1.72234,1.99303,1.67669,0.00128866,0.00128866,0.00128866
11,398.068,1.63491,1.69879,1.61126,0.52959,0.52591,0.64621,0.24996,1.87369,2.35459,1.74827,0.00128753,0.00128753,0.00128753
12,433.991,1.66683,1.73563,1.62481,0.84889,0.3619,0.45389,0.20687,2.1194,2.52616,2.00929,0.00127338,0.00127338,0.00127338
13,469.59,1.68035,1.68767,1.59066,0.76491,0.56284,0.65673,0.37433,1.81083,2.25632,1.71968,0.00125923,0.00125923,0.00125923
14,504.664,1.62142,1.70426,1.59059,0.84755,0.70212,0.76376,0.44898,1.79936,1.85948,1.78791,0.00124509,0.00124509,0.00124509
15,540.088,1.58344,1.58972,1.5332,0.85777,0.69197,0.78316,0.40595,1.96536,1.90089,1.98257,0.00123094,0.00123094,0.00123094
16,575.845,1.60174,1.62488,1.55182,0.87121,0.83752,0.83465,0.42988,2.04178,1.9209,1.94766,0.00121679,0.00121679,0.00121679
17,611.796,1.57937,1.56623,1.55174,0.87482,0.7565,0.81805,0.40893,1.91374,1.68703,1.79899,0.00120265,0.00120265,0.00120265
18,2325.34,1.56526,1.52363,1.53887,0.85103,0.75948,0.81115,0.45306,1.77159,1.63374,1.73365,0.0011885,0.0011885,0.0011885
19,2361.72,1.58875,1.57956,1.57651,0.8325,0.7619,0.78514,0.46277,1.88724,1.77723,1.79113,0.00117435,0.00117435,0.00117435
20,2397.44,1.56426,1.536,1.54919,0.84228,0.7619,0.80411,0.36545,2.01547,1.77688,1.9462,0.00116021,0.00116021,0.00116021
21,2432.49,1.55727,1.53509,1.53959,0.94645,0.7381,0.82308,0.4417,1.79632,1.55224,1.74281,0.00114606,0.00114606,0.00114606
22,2469.1,1.52162,1.47017,1.52799,0.87987,0.78023,0.84287,0.45893,1.89845,1.65276,1.80402,0.00113191,0.00113191,0.00113191
23,2505.36,1.53213,1.45978,1.5106,0.76056,0.83333,0.82028,0.449,1.73327,1.62075,1.66498,0.00111776,0.00111776,0.00111776
24,2540.98,1.53981,1.48427,1.53641,0.96724,0.78571,0.84393,0.44409,1.74578,1.52894,1.63905,0.00110362,0.00110362,0.00110362
25,2576.3,1.52048,1.41234,1.50312,0.90988,0.80952,0.84913,0.40624,1.80291,1.61659,1.75589,0.00108947,0.00108947,0.00108947
26,2612.59,1.44673,1.4065,1.48532,0.90346,0.76396,0.8554,0.4362,1.67203,1.64939,1.76933,0.00107532,0.00107532,0.00107532
27,2648.98,1.4572,1.39656,1.48803,0.77089,0.79119,0.81598,0.41648,1.75598,1.62152,1.77092,0.00106118,0.00106118,0.00106118
28,2685.28,1.47476,1.41049,1.45271,0.85395,0.78124,0.83626,0.42259,1.71573,1.61053,1.72113,0.00104703,0.00104703,0.00104703
29,2720.9,1.46386,1.36131,1.47779,0.81584,0.83333,0.84196,0.46971,1.6069,1.5412,1.66896,0.00103288,0.00103288,0.00103288
30,2756.83,1.42498,1.31769,1.45782,0.82015,0.78571,0.78787,0.44882,1.69955,1.63975,1.6498,0.00101873,0.00101873,0.00101873
31,2792.74,1.44355,1.3961,1.48185,0.83963,0.78571,0.78175,0.38155,1.88108,1.67538,1.73722,0.00100459,0.00100459,0.00100459
32,2828.35,1.45044,1.33254,1.47646,0.74552,0.74286,0.74413,0.35629,2.01196,1.70508,1.905,0.00099044,0.00099044,0.00099044
33,2864.54,1.44961,1.30035,1.44909,0.7292,0.84017,0.86597,0.46083,1.87933,1.52079,1.73547,0.000976293,0.000976293,0.000976293
34,2900.77,1.40983,1.30561,1.42672,0.8813,0.7619,0.85842,0.49411,1.6,1.40051,1.54222,0.000962146,0.000962146,0.000962146
35,2936.57,1.40826,1.30823,1.4427,0.9055,0.78571,0.86303,0.48597,1.56943,1.39855,1.57211,0.000947999,0.000947999,0.000947999
36,2972.72,1.38398,1.28592,1.42126,0.85284,0.81391,0.8143,0.41686,1.65664,1.52387,1.66285,0.000933851,0.000933851,0.000933851
37,3009.17,1.36701,1.22413,1.39571,0.82943,0.80952,0.8309,0.45961,1.6368,1.39874,1.65043,0.000919704,0.000919704,0.000919704
38,3045.77,1.34689,1.24242,1.41493,0.90141,0.80292,0.87347,0.47983,1.66078,1.45046,1.59349,0.000905557,0.000905557,0.000905557
39,3081.84,1.37921,1.21573,1.41221,0.8558,0.78571,0.86211,0.45398,1.69132,1.44716,1.61541,0.00089141,0.00089141,0.00089141
40,3117.89,1.35321,1.24697,1.4018,0.95103,0.7856,0.84496,0.46107,1.61981,1.42717,1.60128,0.000877263,0.000877263,0.000877263
41,3153.77,1.35313,1.22944,1.41239,0.97436,0.7381,0.81434,0.47576,1.64674,1.54352,1.63655,0.000863116,0.000863116,0.000863116
42,3190.3,1.31043,1.2204,1.39622,0.76493,0.80952,0.83368,0.45002,1.7542,1.56573,1.73314,0.000848969,0.000848969,0.000848969
43,6930.47,1.38264,1.20074,1.4099,0.95712,0.80952,0.85304,0.43463,1.75432,1.50905,1.75415,0.000834822,0.000834822,0.000834822
44,6967.53,1.33525,1.15702,1.40076,0.8849,0.80952,0.85218,0.4277,1.78427,1.3933,1.67204,0.000820675,0.000820675,0.000820675
45,7004.2,1.35522,1.17959,1.39475,0.83015,0.73792,0.76651,0.36899,1.88721,1.48733,1.72778,0.000806528,0.000806528,0.000806528
46,7040.31,1.28473,1.13613,1.36114,0.90033,0.80326,0.86141,0.44378,1.7217,1.45994,1.67774,0.00079238,0.00079238,0.00079238
47,7076.68,1.33922,1.13624,1.3695,0.91237,0.80952,0.86513,0.44123,1.66097,1.31859,1.62868,0.000778233,0.000778233,0.000778233
48,7113.34,1.26496,1.09424,1.34343,0.90991,0.80663,0.85384,0.41733,1.7651,1.3362,1.733,0.000764086,0.000764086,0.000764086
49,7149.79,1.29065,1.10501,1.37153,0.82401,0.80952,0.85268,0.43352,1.82564,1.35825,1.75297,0.000749939,0.000749939,0.000749939
50,7186.5,1.23997,1.0778,1.34185,0.89381,0.80952,0.84601,0.47392,1.71901,1.37688,1.64783,0.000735792,0.000735792,0.000735792
51,7223.37,1.28853,1.09684,1.36378,0.90683,0.7619,0.83216,0.47016,1.68421,1.32599,1.61185,0.000721645,0.000721645,0.000721645
52,7260.55,1.25024,1.10093,1.35481,0.80752,0.78571,0.84317,0.42931,1.74718,1.34856,1.67311,0.000707498,0.000707498,0.000707498
53,7297.77,1.25583,1.07707,1.33756,0.94574,0.7381,0.83026,0.40915,1.75827,1.39328,1.70533,0.000693351,0.000693351,0.000693351
54,7335.14,1.21053,1.06176,1.31657,0.94837,0.77741,0.84357,0.45349,1.66165,1.36363,1.62821,0.000679204,0.000679204,0.000679204
55,7367.59,1.29278,1.04919,1.35633,0.92219,0.78571,0.84048,0.45766,1.72684,1.41435,1.64201,0.000665057,0.000665057,0.000665057
56,7393.8,1.21238,1.05378,1.30144,0.8955,0.78147,0.84462,0.42009,1.78386,1.4301,1.70392,0.000650909,0.000650909,0.000650909
57,7424.08,1.23539,1.08617,1.30501,0.93334,0.7619,0.84944,0.41513,1.67459,1.35108,1.65112,0.000636762,0.000636762,0.000636762
58,7453.56,1.15192,1.03496,1.29192,0.88494,0.80388,0.87604,0.44476,1.66732,1.30333,1.65642,0.000622615,0.000622615,0.000622615
59,7483.05,1.18159,1.01773,1.29829,0.90168,0.78152,0.87429,0.45474,1.66491,1.34265,1.67604,0.000608468,0.000608468,0.000608468
60,7513.49,1.20566,1.03193,1.28912,0.80401,0.78571,0.82236,0.42725,1.72063,1.46479,1.73048,0.000594321,0.000594321,0.000594321
61,7543.61,1.24429,1.06516,1.33229,0.85126,0.80227,0.82919,0.44667,1.77428,1.53412,1.74542,0.000580174,0.000580174,0.000580174
62,7573.71,1.2213,1.0539,1.32426,0.91932,0.80952,0.86893,0.48442,1.67991,1.33287,1.62155,0.000566027,0.000566027,0.000566027
63,7603.7,1.19944,1.02466,1.28385,0.91869,0.80952,0.8833,0.46723,1.68998,1.21753,1.63557,0.00055188,0.00055188,0.00055188
64,7633.88,1.16803,1.01515,1.2984,0.81863,0.92857,0.89523,0.45372,1.72991,1.19379,1.6481,0.000537733,0.000537733,0.000537733
65,7664.19,1.18416,0.99619,1.28375,0.81711,0.90476,0.89098,0.47099,1.74681,1.18809,1.66495,0.000523586,0.000523586,0.000523586
66,7694.82,1.18527,0.98774,1.27577,0.86696,0.82573,0.83876,0.43135,1.80855,1.31751,1.67548,0.000509438,0.000509438,0.000509438
67,7725.01,1.14669,0.95956,1.25074,0.90816,0.80249,0.83906,0.44116,1.84268,1.41206,1.725,0.000495291,0.000495291,0.000495291
68,7755.21,1.16108,0.98573,1.27936,0.91713,0.80952,0.84314,0.4518,1.73744,1.32225,1.68388,0.000481144,0.000481144,0.000481144
69,7785.13,1.12629,0.96578,1.2451,0.92444,0.82751,0.85227,0.4442,1.68235,1.2967,1.65107,0.000466997,0.000466997,0.000466997
70,7815.12,1.1123,0.98822,1.25743,0.88247,0.82873,0.84373,0.43918,1.73402,1.37739,1.69833,0.00045285,0.00045285,0.00045285
71,7845.19,1.17331,0.97491,1.31702,0.88622,0.83017,0.83934,0.43461,1.77342,1.40933,1.71001,0.000438703,0.000438703,0.000438703
72,7875.18,1.14342,0.9476,1.27047,0.85101,0.83333,0.84099,0.42649,1.84763,1.36987,1.74225,0.000424556,0.000424556,0.000424556
73,7904.49,1.12944,0.9423,1.257,0.91207,0.78571,0.83982,0.44441,1.81295,1.36241,1.7257,0.000410409,0.000410409,0.000410409
74,7933.56,1.09499,0.92187,1.21455,0.91398,0.80508,0.83657,0.44518,1.76649,1.39262,1.69662,0.000396262,0.000396262,0.000396262
75,7963,1.08295,0.90248,1.22114,0.9313,0.80486,0.8349,0.45828,1.77368,1.39801,1.70978,0.000382115,0.000382115,0.000382115
76,7993.16,1.101,0.87596,1.2481,0.93896,0.80253,0.83201,0.43843,1.72607,1.34347,1.70064,0.000367967,0.000367967,0.000367967
77,8022.8,1.06838,0.92467,1.26849,0.9373,0.80952,0.83449,0.44116,1.7317,1.3363,1.71255,0.00035382,0.00035382,0.00035382
78,8051.16,1.13423,0.94886,1.27657,0.92739,0.80952,0.83304,0.45987,1.79742,1.37625,1.77877,0.000339673,0.000339673,0.000339673
79,8079.8,1.06756,0.8793,1.2288,0.92167,0.80952,0.83613,0.44832,1.79582,1.3337,1.76418,0.000325526,0.000325526,0.000325526
80,8109.75,1.08,0.90511,1.22336,0.9166,0.80952,0.84013,0.44713,1.79248,1.33451,1.74384,0.000311379,0.000311379,0.000311379
81,8138.36,1.04135,0.87405,1.21092,0.9217,0.80952,0.85772,0.47405,1.78079,1.27912,1.71747,0.000297232,0.000297232,0.000297232
82,8167.28,1.0678,0.89331,1.20698,0.91519,0.80271,0.865,0.48573,1.75299,1.28673,1.68643,0.000283085,0.000283085,0.000283085
83,8197.4,1.03976,0.86517,1.20182,0.922,0.80673,0.86261,0.46734,1.73837,1.3173,1.70251,0.000268938,0.000268938,0.000268938
84,8227.2,1.0692,0.89803,1.20527,0.86326,0.84772,0.86416,0.45273,1.77215,1.31913,1.72322,0.000254791,0.000254791,0.000254791
85,8255.67,1.04515,0.8657,1.19504,0.90037,0.82677,0.85197,0.43889,1.78743,1.31991,1.72767,0.000240644,0.000240644,0.000240644
86,8284.3,1.00568,0.83049,1.16165,0.90528,0.80497,0.85374,0.45546,1.78097,1.26622,1.71593,0.000226497,0.000226497,0.000226497
87,8312.9,1.02581,0.87897,1.19794,0.83081,0.85714,0.8579,0.45967,1.7483,1.23388,1.68393,0.000212349,0.000212349,0.000212349
88,8342.38,1.04582,0.8656,1.21497,0.82956,0.85714,0.86262,0.46593,1.72245,1.24492,1.67455,0.000198202,0.000198202,0.000198202
89,8370.74,1.00649,0.84743,1.19293,0.83311,0.85714,0.85606,0.47212,1.72697,1.24057,1.68111,0.000184055,0.000184055,0.000184055
90,8400.62,0.98123,0.82109,1.17002,0.83457,0.85714,0.84817,0.4674,1.73501,1.26363,1.71024,0.000169908,0.000169908,0.000169908
91,8428.83,1.0107,0.94607,1.24796,0.82402,0.85714,0.84875,0.45157,1.76493,1.2737,1.70195,0.000155761,0.000155761,0.000155761
